dataset,path,records,fields,bytes,status,research_role,limitation
InjecAgent cases,data/raw/github/06_prompt_injection/InjecAgent/data,2108,4 files: base/enhanced direct-harm and data-stealing,4960692,verified,Indirect prompt-injection scenarios and tool risks.,"2,108 rows represent 1,054 base scenarios plus enhanced variants, not independent events."
VCDB validated incidents,data/raw/github/04_ai_incidents/VCDB/data/json/validated,10596,files matching *.json,31391182,verified,Detection/discovery analogue and operational incident structure.,"Cyber incidents, not AI-agent losses; monetary severity is largely unavailable."
AI Incident Database export,data/_scripts/aat_data_remote/aiid_excel/AIID_Excel_Export-20260831.xlsx,16537,Incidents:1654x59;Reports:7680x12;Entities:7138x2;Data Dictionary:59x5;Coverage Map:6x4,2448937,verified,Current open AI-incident taxonomy/case triangulation.,Reported incidents are non-random and do not supply insured loss amounts.
EIOPA annual own funds,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SA_Own_Funds.csv,5562,"Reporting country;Reference period;Item code;Item name;Value;Undertaking type;Date of extraction (yyyymmdd);Number of submissions (per reporting country, reference date and undertaking type)",573352,verified,Open insurer-scale/Solvency-II calibration and contextual comparison.,Aggregate supervisory statistics; no firm-level agentic operational losses.
EIOPA annual balance sheet,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SA_Balance_Sheet.csv,25415,"Reporting country;Reference period;Undertaking type;Value;Item name;Item code;Number of submissions (per reporting country, reference date and undertaking type);Date of extraction (yyyymmdd)",2680516,verified,Open insurer-scale/Solvency-II calibration and contextual comparison.,Aggregate supervisory statistics; no firm-level agentic operational losses.
EIOPA annual premiums/claims/expenses,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SA_Premiums_Claims_Expenses.csv,27528,"Reporting country;Reference period;Item;Business type;Item code;Value;Date of extraction (yyyymmdd);Number of submissions (per reporting country, reference date and undertaking type)",1918116,verified,Open insurer-scale/Solvency-II calibration and contextual comparison.,Aggregate supervisory statistics; no firm-level agentic operational losses.
EIOPA quarterly own funds,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SQ_Own_Funds.csv,66872,"Reporting country;Reference period;Item code;Item name;Value;Undertaking type;Date of extraction (yyyymmdd);Number of submissions (per reporting country, reference date and undertaking type)",7054095,verified,Open insurer-scale/Solvency-II calibration and contextual comparison.,Aggregate supervisory statistics; no firm-level agentic operational losses.
EIOPA quarterly balance sheet,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SQ_Balance_Sheet.csv,224825,"Reporting country;Reference period;Undertaking type;Value;Item name;Item code;Number of submissions (per reporting country, reference date and undertaking type);Date of extraction (yyyymmdd)",21688724,verified,Open insurer-scale/Solvency-II calibration and contextual comparison.,Aggregate supervisory statistics; no firm-level agentic operational losses.
OpVaR lossdat part_1,data/processed/r_native_fallback/lossdat__lossdat__part_1.parquet,1965,Loss;Period;Date,12499,verified,Open operational-loss severity/frequency method benchmark.,Illustrative package data; not current insurer agentic losses.
OpVaR lossdat part_2,data/processed/r_native_fallback/lossdat__lossdat__part_2.parquet,2025,Loss;Period;Date,12783,verified,Open operational-loss severity/frequency method benchmark.,Illustrative package data; not current insurer agentic losses.
OpVaR lossdat part_3,data/processed/r_native_fallback/lossdat__lossdat__part_3.parquet,1995,Loss;Period;Date,12500,verified,Open operational-loss severity/frequency method benchmark.,Illustrative package data; not current insurer agentic losses.
OpVaR lossdat part_4,data/processed/r_native_fallback/lossdat__lossdat__part_4.parquet,1941,Loss;Period;Date,12196,verified,Open operational-loss severity/frequency method benchmark.,Illustrative package data; not current insurer agentic losses.
