object_path,format,bytes,rows,columns,column_names,missing_cells,total_cells,missing_rate,status,note
data/processed/r_native_fallback/brvehins2d__brvehins2d.parquet,parquet,10961222,666938,18,VehYear;VehModel;VehGroup;City;CityCode;Area;State;StateAb;ExposTotal;PremTotal;ClaimNbRob;ClaimNbColl;ClaimNbFire;ClaimNbOther;ClaimAmountRob;ClaimAmountColl;ClaimAmountFire;ClaimAmountOther,248259,12004884,0.0206798333,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/eutelematic13__eutelematic13.parquet,parquet,34100647,1999028,17,identifier_int;period;dt_1;exposure_1;exposure_2;num_target_1;sev_target_1;num_target_2;sev_target_2;vhl_1;vhl_2;vhl_3;trt_1;trt_2;phl_1;phl_2;group,479586,33983476,0.0141123292,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/lossdat__lossdat__part_1.parquet,parquet,12499,1965,3,Loss;Period;Date,0,5895,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/lossdat__lossdat__part_2.parquet,parquet,12783,2025,3,Loss;Period;Date,0,6075,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/lossdat__lossdat__part_3.parquet,parquet,12500,1995,3,Loss;Period;Date,0,5985,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/lossdat__lossdat__part_4.parquet,parquet,12196,1941,3,Loss;Period;Date,0,5823,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/sysdata__.list_of_variables.parquet,parquet,9031,35,28,Variable;q1;q2;LoB;cc;AY;AQ;age;inj_part;RepDel;Z;logY;K1;K;Zmnew;logYm;Pay00;Pay01;Pay02;Pay03;Pay04;Pay05;Pay06;Pay07;Pay08;Pay09;Pay10;Pay11,2,980,0.0020408163,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/dental__dental.parquet,parquet,1258,10,1,value,0,10,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/gdental__gdental.parquet,parquet,1945,10,2,cj;nj,0,20,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_actuar/data/hachemeister__hachemeister.parquet,parquet,3156,125,3,dim_0;dim_1;value,0,375,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/ABC__ABC.parquet,parquet,2716,121,3,origin;dev;value,55,363,0.1515151515,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/auto__auto.parquet,parquet,14267,1,3,PersonalAutoPaid;PersonalAutoIncurred;CommercialAutoPaid,0,3,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/AutoBI__AutoBI.parquet,parquet,8302,1,3,AutoBIPaid;AutoBIClosed;AutoBIReportedCounts,0,3,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenIns__GenIns.parquet,parquet,2623,100,3,origin;dev;value,45,300,0.1500000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/GenInsLong__GenInsLong.parquet,parquet,2759,55,3,accyear;devyear;incurred claims,0,165,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/liab__liab.parquet,parquet,17603,1,2,GeneralLiab;AutoLiab,0,2,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/M3IR5__M3IR5.parquet,parquet,2999,196,3,origin;dev;value,91,588,0.1547619048,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/MCLincurred__MCLincurred.parquet,parquet,2356,49,3,origin;dev;value,21,147,0.1428571429,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/MCLpaid__MCLpaid.parquet,parquet,2362,49,3,origin;dev;value,21,147,0.1428571429,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/MedMal__MedMal.parquet,parquet,14044,1,4,MedMalReported;MedMalPaid;MedMalOutstanding;MedMalOpen,0,4,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/Mortgage__Mortgage.parquet,parquet,2555,81,3,origin;dev;value,36,243,0.1481481481,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/MW2008__MW2008.parquet,parquet,2530,81,3,origin;dev;value,36,243,0.1481481481,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/MW2014__MW2014.parquet,parquet,3374,289,3,origin;dev;value,136,867,0.1568627451,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/qincurred__qincurred.parquet,parquet,3995,540,3,origin.year;dev.quarter;value,264,1620,0.1629629630,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/qpaid__qpaid.parquet,parquet,4001,540,3,origin.year;dev.quarter;value,264,1620,0.1629629630,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/RAA__RAA.parquet,parquet,2589,100,3,origin;dev;value,45,300,0.1500000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/UKMotor__UKMotor.parquet,parquet,2390,49,3,origin;dev;value,21,147,0.1428571429,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/USAAincurred__USAAincurred.parquet,parquet,2582,100,3,origin;dev;value,45,300,0.1500000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_ChainLadder/data/USAApaid__USAApaid.parquet,parquet,2590,100,3,origin;dev;value,45,300,0.1500000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/AutoBi__AutoBi.parquet,parquet,22244,1340,8,CASENUM;ATTORNEY;CLMSEX;MARITAL;CLMINSUR;SEATBELT;CLMAGE;LOSS,306,10720,0.0285447761,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/AutoClaims__AutoClaims.parquet,parquet,56891,6773,5,STATE;CLASS;GENDER;AGE;PAID,0,33865,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/AutoCollision__AutoCollision.parquet,parquet,3532,32,4,Age;Vehicle_Use;Severity;Claim_Count,0,128,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/ClaimsLong__ClaimsLong.parquet,parquet,469771,120000,6,policyID;agecat;valuecat;period;numclaims;claim,0,720000,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/dataCar__dataCar.parquet,parquet,349816,67856,11,veh_value;exposure;clm;numclaims;claimcst0;veh_body;veh_age;gender;area;agecat;X_OBSTAT_,0,746416,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/dataOhlsson__dataOhlsson.parquet,parquet,204656,64548,9,agarald;kon;zon;mcklass;fordald;bonuskl;duration;antskad;skadkost,0,580932,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/IndustryAuto__IndustryAuto.parquet,parquet,2708,55,3,Incurral.Year;Development.Year;Claim,0,165,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/SingaporeAuto__SingaporeAuto.parquet,parquet,42069,7483,15,SexInsured;Female;VehicleType;PC;Clm_Count;Exp_weights;LNWEIGHT;NCD;AgeCat;AutoAge0;AutoAge1;AutoAge2;AutoAge;VAgeCat;VAgecat1,0,112245,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/Thirdparty__Thirdparty.parquet,parquet,2348,176,1,lga.sd.claims.accidents.ki.population.pop_density,0,176,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_insuranceData/data/WorkersComp__WorkersComp.parquet,parquet,14317,847,4,CL;YR;PR;LOSS,0,3388,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/comauto__comauto.parquet,parquet,140030,15800,13,GroupCode;Company;AccidentYear;DevelopmentYear;Lag;CumulativeIncurred;CumulativePaid;IBNR;DirectEP;CededEP;NetEP;Single;Reserve1997,0,205400,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/COTOR2__COTOR2.parquet,parquet,3465,250,1,value,0,250,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/COTOR3__COTOR3.parquet,parquet,4636,490,2,Year;Amount,0,980,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/COTOR4__COTOR4.parquet,parquet,25490,2500,2,Year;Amount,0,5000,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/COTOR5__COTOR5.parquet,parquet,49784,4849,4,Risk;Year;MSA;Amount,0,19396,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/Hurricane__Hurricane.parquet,parquet,659737,43122,8,Year;Number;Name;ISO_Time;Latitude;Longitude;Wind;Pressure,46321,344976,0.1342731089,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/medmal__medmal.parquet,parquet,42313,3400,13,GroupCode;Company;AccidentYear;DevelopmentYear;Lag;CumulativeIncurred;CumulativePaid;IBNR;DirectEP;CededEP;NetEP;Single;Reserve1997,0,44200,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/MultiTri__MultiTri.parquet,parquet,63078,3000,14,GroupCode;Company;AccidentYear;DevelopmentYear;Lag;CumulativeIncurred;CumulativePaid;IBNR;DirectEP;CededEP;NetEP;Single;Reserve1997;Line,0,42000,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/NJM_WC__NJM_WC.parquet,parquet,10388,100,13,GroupCode;Company;AccidentYear;DevelopmentYear;Lag;CumulativeIncurred;CumulativePaid;IBNR;DirectEP;CededEP;NetEP;Single;Reserve1997,0,1300,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/othliab__othliab.parquet,parquet,165251,23900,13,GroupCode;Company;AccidentYear;DevelopmentYear;Lag;CumulativeIncurred;CumulativePaid;IBNR;DirectEP;CededEP;NetEP;Single;Reserve1997,0,310700,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/PPA__PPA_AccidentYear.parquet,parquet,3158,5,4,AccidentYear;EarnedExposure;EarnedPremium;ReportedLosses,0,20,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/PPA__PPA_LossDevelopment.parquet,parquet,2523,25,3,AccidentYear;Lag;ReportedLoss,0,75,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/PPA__PPA_LossTrend.parquet,parquet,5825,20,7,YearEndingQuarter;EarnedExposure;ClosedClaimCount;PaidLosses;Frequency;Severity;PurePremium,0,140,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/PPA__PPA_PremiumTrend.parquet,parquet,2876,23,3,QuarterEnding;WrittenPremium;WrittenExposure,0,69,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/PPA__PPA_RateChange.parquet,parquet,3640,7,5,RateGroup;EffectiveDate;RateChange;RateLevelIndex;CumulativeRateLevel,8,35,0.2285714286,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/PPA__PPA_ULAE.parquet,parquet,3038,3,4,CalendarYear;PaidLoss_ALAE;PaidULAE;ULAE_Ratio,0,12,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/ppauto__ppauto.parquet,parquet,164246,14600,13,GroupCode;Company;AccidentYear;DevelopmentYear;Lag;CumulativeIncurred;CumulativePaid;IBNR;DirectEP;CededEP;NetEP;Single;Reserve1997,0,189800,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/prodliab__prodliab.parquet,parquet,51265,7000,13,GroupCode;Company;AccidentYear;DevelopmentYear;Lag;CumulativeIncurred;CumulativePaid;IBNR;DirectEP;CededEP;NetEP;Single;Reserve1997,0,91000,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/RegionExperience__RegionExperience.parquet,parquet,3422,40,4,Region;PolicyYear;NumPolicies;NumClaims,0,160,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/StateExperience__StateExperience.parquet,parquet,8219,500,6,Region;State;Postal;PolicyYear;NumPolicies;NumClaims,0,3000,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/cran_raw/data/wkcomp__wkcomp.parquet,parquet,141172,13200,13,GroupCode;Company;AccidentYear;DevelopmentYear;Lag;CumulativeIncurred;CumulativePaid;IBNR;DirectEP;CededEP;NetEP;Single;Reserve1997,0,171600,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/kevinykuo_deeptriangle/data/dt_group_codes__dt_group_codes.parquet,parquet,2757,200,2,lob;group_code,0,400,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/kevinykuo_deeptriangle/data/stochastic_model_results__stochastic_model_results.parquet,parquet,3270,24,4,mape;rmspe;model;lob,0,96,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/problemofpoints_reservetestr/data/cas_loss_reserve_db__cas_loss_reserve_db.parquet,parquet,4263529,779,6,line;group_id;company;full_long_tri;train_tri_set;test_tri_set,0,4674,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/problemofpoints_reservetestr/data/meyers_2016_wintereforum_appendix__meyers_2016_wintereforum_appendix.parquet,parquet,17141,200,11,line2;group_id;Premium;Estimate...4;Std Dev...5;Percentile...6;Outcome...7;gammamean;deltamean;max_Rhat...10;line,0,2200,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_01_reserving_core/01_reserving/problemofpoints_reservetestr/data/meyers_2019_appendix__meyers_2019_appendix.parquet,parquet,234448,15,2,sheet_name;data,0,30,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_copula/data/gasoil__gasoil.parquet,parquet,12925,762,3,date;oil;gas,0,2286,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_copula/data/rdj__rdj.parquet,parquet,44498,1262,4,Date;INTC;MSFT;GE,0,5048,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_copula/data/SMI.12__lSMI.parquet,parquet,91317,1,20,ABBN.VX;ATLN.VX;ADEN.VX;CSGN.VX;GIVN.VX;HOLN.VX;BAER.VX;NESN.VX;NOVN.VX;CFR.VX;ROG.VX;SGSN.VX;UHR.VX;SREN.VX;SCMN.VX;SYNN.VX;SYST.VX;RIGN.VX;UBSN.VX;ZURN.VX,0,20,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_copula/data/SMI.12__SMI.12.parquet,parquet,16370,2820,3,dim_0;dim_1;value,0,8460,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/failure__failure.parquet,parquet,1327,24,1,value,0,24,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/fox__fox.parquet,parquet,2120,33,2,berlin;wright,0,66,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/lisbon__lisbon.parquet,parquet,1317,30,1,value,0,30,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/lossalae__lossalae.parquet,parquet,13323,1500,2,Loss;ALAE,0,3000,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/ocmulgee__ocmulgee.parquet,parquet,2151,40,2,hawk;macon,0,80,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/oldage__oldage.parquet,parquet,2520,66,2,men;women,0,132,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/oxford__oxford.parquet,parquet,1335,80,1,value,0,80,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/portpirie__portpirie.parquet,parquet,1486,65,1,value,0,65,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/sask__sask.parquet,parquet,1519,48,1,value,0,48,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/sealevel2__sealevel2.parquet,parquet,2740,81,3,dover;harwich;case,111,243,0.4567901235,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/sealevel__sealevel.parquet,parquet,2289,81,2,dover;harwich,39,162,0.2407407407,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/uccle__uccle.parquet,parquet,3411,35,4,day;hour;tmin;min,0,140,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/venice2__venice2.parquet,parquet,8989,125,10,1;2;3;4;5;6;7;8;9;10,13,1250,0.0104000000,verified,Metadata and all row-group footers readable.
data/processed/rdata/core_archives/AAT_03_oprisk_core/03_oprisk/cran_evd/data/venice__venice.parquet,parquet,7399,51,10,1;2;3;4;5;6;7;8;9;10,4,510,0.0078431373,verified,Metadata and all row-group footers readable.
